date,publication,quote_code,quote_name,unit,low,high,mean
2026-08-28,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,590.59,593.79,592.19
2026-08-28,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,396.54,398.74,397.64
2026-08-28,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,689.58,693.08,691.33
2026-08-28,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,721.94,725.94,723.94
2026-08-28,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,503.68,506.18,504.93
2026-08-28,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,639.61,642.61,641.11
2026-08-31,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,590.39,593.59,591.99
2026-08-31,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,393.69,395.89,394.79
2026-08-31,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,689.48,692.98,691.23
2026-08-31,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,719.81,723.81,721.81
2026-08-31,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,500.50,503.00,501.75
2026-08-31,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,638.40,641.40,639.90
2026-09-01,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,587.50,590.70,589.10
2026-09-01,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,389.23,391.43,390.33
2026-09-01,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,685.33,688.83,687.08
2026-09-01,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,715.34,719.34,717.34
2026-09-01,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,500.89,503.39,502.14
2026-09-01,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,634.42,637.42,635.92
2026-09-02,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,590.10,593.30,591.70
2026-09-02,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,391.92,394.12,393.02
2026-09-02,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,686.85,690.35,688.60
2026-09-02,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,714.61,718.61,716.61
2026-09-02,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,496.64,499.14,497.89
2026-09-02,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,634.49,637.49,635.99
2026-09-03,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,588.59,591.79,590.19
2026-09-03,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,388.97,391.17,390.07
2026-09-03,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,689.23,692.73,690.98
2026-09-03,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,713.44,717.44,715.44
2026-09-03,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,496.89,499.39,498.14
2026-09-03,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,630.32,633.32,631.82
2026-09-04,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,591.30,594.50,592.90
2026-09-04,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,388.73,390.93,389.83
2026-09-04,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,689.89,693.39,691.64
2026-09-04,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,714.03,718.03,716.03
2026-09-04,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,501.19,503.69,502.44
2026-09-04,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,629.73,632.73,631.23
2026-09-07,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,595.54,598.74,597.14
2026-09-07,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,390.76,392.96,391.86
2026-09-07,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,693.26,696.76,695.01
2026-09-07,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,718.11,722.11,720.11
2026-09-07,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,504.46,506.96,505.71
2026-09-07,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,625.85,628.85,627.35
2026-09-08,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,594.61,597.81,596.21
2026-09-08,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,391.27,393.47,392.37
2026-09-08,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,691.59,695.09,693.34
2026-09-08,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,719.83,723.83,721.83
2026-09-08,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,506.23,508.73,507.48
2026-09-08,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,622.17,625.17,623.67
2026-09-09,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,593.72,596.92,595.32
2026-09-09,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,389.70,391.90,390.80
2026-09-09,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,693.35,696.85,695.10
2026-09-09,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,719.96,723.96,721.96
2026-09-09,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,504.08,506.58,505.33
2026-09-09,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,621.49,624.49,622.99
2026-09-10,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,597.74,600.94,599.34
2026-09-10,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,389.86,392.06,390.96
2026-09-10,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,694.20,697.70,695.95
2026-09-10,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,721.02,725.02,723.02
2026-09-10,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,502.88,505.38,504.13
2026-09-10,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,624.43,627.43,625.93
2026-09-11,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,599.76,602.96,601.36
2026-09-11,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,390.36,392.56,391.46
2026-09-11,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,694.91,698.41,696.66
2026-09-11,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,722.61,726.61,724.61
2026-09-11,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,499.88,502.38,501.13
2026-09-11,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,621.05,624.05,622.55
2026-09-14,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,596.79,599.99,598.39
2026-09-14,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,392.92,395.12,394.02
2026-09-14,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,694.52,698.02,696.27
2026-09-14,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,718.59,722.59,720.59
2026-09-14,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,502.33,504.83,503.58
2026-09-14,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,618.56,621.56,620.06
2026-09-15,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,593.44,596.64,595.04
2026-09-15,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,389.38,391.58,390.48
2026-09-15,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,697.58,701.08,699.33
2026-09-15,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,722.19,726.19,724.19
2026-09-15,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,502.62,505.12,503.87
2026-09-15,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,619.70,622.70,621.20
2026-09-16,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,590.30,593.50,591.90
2026-09-16,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,389.92,392.12,391.02
2026-09-16,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,701.58,705.08,703.33
2026-09-16,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,724.71,728.71,726.71
2026-09-16,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,505.14,507.64,506.39
2026-09-16,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,623.73,626.73,625.23
2026-09-17,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,593.94,597.14,595.54
2026-09-17,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,387.66,389.86,388.76
2026-09-17,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,701.35,704.85,703.10
2026-09-17,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,728.08,732.08,730.08
2026-09-17,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,503.60,506.10,504.85
2026-09-17,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,624.43,627.43,625.93
2026-09-18,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,596.70,599.90,598.30
2026-09-18,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,385.65,387.85,386.75
2026-09-18,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,702.83,706.33,704.58
2026-09-18,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,730.76,734.76,732.76
2026-09-18,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,501.11,503.61,502.36
2026-09-18,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,623.50,626.50,625.00
2026-09-21,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,593.52,596.72,595.12
2026-09-21,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,388.10,390.30,389.20
2026-09-21,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,698.87,702.37,700.62
2026-09-21,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,729.79,733.79,731.79
2026-09-21,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,503.91,506.41,505.16
2026-09-21,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,627.78,630.78,629.28
2026-09-22,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,596.45,599.65,598.05
2026-09-22,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,388.17,390.37,389.27
2026-09-22,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,700.69,704.19,702.44
2026-09-22,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,728.88,732.88,730.88
2026-09-22,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,508.28,510.78,509.53
2026-09-22,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,623.70,626.70,625.20
2026-09-23,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,600.78,603.98,602.38
2026-09-23,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,388.72,390.92,389.82
2026-09-23,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,702.01,705.51,703.76
2026-09-23,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,725.32,729.32,727.32
2026-09-23,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,511.45,513.95,512.70
2026-09-23,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,626.93,629.93,628.43
2026-09-24,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,602.19,605.39,603.79
2026-09-24,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,391.06,393.26,392.16
2026-09-24,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,706.45,709.95,708.20
2026-09-24,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,726.52,730.52,728.52
2026-09-24,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,514.21,516.71,515.46
2026-09-24,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,625.04,628.04,626.54
2026-09-25,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,600.85,604.05,602.45
2026-09-25,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,394.78,396.98,395.88
2026-09-25,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,709.35,712.85,711.10
2026-09-25,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,722.58,726.58,724.58
2026-09-25,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,517.07,519.57,518.32
2026-09-25,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,621.83,624.83,623.33
2026-09-28,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,601.28,604.48,602.88
2026-09-28,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,394.27,396.47,395.37
2026-09-28,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,707.41,710.91,709.16
2026-09-28,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,718.69,722.69,720.69
2026-09-28,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,519.23,521.73,520.48
2026-09-28,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,618.39,621.39,619.89
2026-09-29,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,597.96,601.16,599.56
2026-09-29,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,395.28,397.48,396.38
2026-09-29,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,706.38,709.88,708.13
2026-09-29,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,716.07,720.07,718.07
2026-09-29,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,516.77,519.27,518.02
2026-09-29,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,616.67,619.67,618.17
2026-09-30,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,593.59,596.79,595.19
2026-09-30,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,395.33,397.53,396.43
2026-09-30,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,707.90,711.40,709.65
2026-09-30,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,713.03,717.03,715.03
2026-09-30,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,516.93,519.43,518.18
2026-09-30,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,619.52,622.52,621.02
2026-10-01,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,597.83,601.03,599.43
2026-10-01,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,395.44,397.64,396.54
2026-10-01,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,703.60,707.10,705.35
2026-10-01,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,711.59,715.59,713.59
2026-10-01,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,515.63,518.13,516.88
2026-10-01,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,616.64,619.64,618.14
2026-10-02,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,599.18,602.38,600.78
2026-10-02,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,397.17,399.37,398.27
2026-10-02,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,703.25,706.75,705.00
2026-10-02,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,707.56,711.56,709.56
2026-10-02,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,511.39,513.89,512.64
2026-10-02,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,617.38,620.38,618.88
2026-10-05,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,599.42,602.62,601.02
2026-10-05,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,396.74,398.94,397.84
2026-10-05,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,700.27,703.77,702.02
2026-10-05,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,703.07,707.07,705.07
2026-10-05,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,507.14,509.64,508.39
2026-10-05,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,618.63,621.63,620.13
2026-10-06,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,603.32,606.52,604.92
2026-10-06,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,397.04,399.24,398.14
2026-10-06,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,696.82,700.32,698.57
2026-10-06,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,699.93,703.93,701.93
2026-10-06,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,505.16,507.66,506.41
2026-10-06,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,617.48,620.48,618.98
2026-10-07,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,602.72,605.92,604.32
2026-10-07,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,396.85,399.05,397.95
2026-10-07,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,692.85,696.35,694.60
2026-10-07,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,696.34,700.34,698.34
